epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,468,0,32020365312,0.56703,0.8469,0.5034,0.92
1,936,0,64040730624,0.41178,0.885,0.3858,1.75
2,1404,0,96061095936,0.3553,0.899,0.3281,2.55
3,1872,0,128081461248,0.30926,0.907,0.3192,3.33
4,2340,0,160101826560,0.29987,0.9102,0.289,4.15
5,2808,0,192122191872,0.28156,0.9149,0.2778,4.96
6,3276,0,224142557184,0.26668,0.92,0.2654,5.76
7,3744,0,256162922496,0.237,0.9259,0.2409,6.57
8,4212,0,288183287808,0.22891,0.9276,0.2341,7.38
9,4680,0,320203653120,0.21504,0.9298,0.2322,8.21
10,5148,0,352224018432,0.21374,0.9317,0.222,9.01
11,5616,0,384244383744,0.19624,0.9307,0.2237,9.83
12,6084,0,416264749056,0.19632,0.938,0.204,10.63
13,6552,0,448285114368,0.18405,0.9389,0.1994,11.42
14,7020,0,480305479680,0.17305,0.9361,0.2045,12.23
15,7488,0,512325844992,0.17564,0.9388,0.1934,13.01
16,7956,468,655251996672,0.17253,0.9558,0.1496,13.84
17,8424,936,798178148352,0.11471,0.972,0.0954,14.66
18,8892,1404,941104300032,0.08176,0.9731,0.0877,15.46
19,9360,1872,1084030451712,0.05847,0.9763,0.0902,16.26
