step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,0,14699986944000,2.61012,2.51206,6.3
500,0,29399973888000,2.48626,2.46127,12.43
750,0,44099960832000,2.40336,2.32476,18.57
1000,0,58799947776000,2.22185,2.15805,24.71
1250,0,73499934720000,2.12161,2.09494,30.85
1500,0,88199921664000,2.05978,2.06318,37.0
1750,0,102899908608000,1.98427,1.97982,43.15
2000,0,117599895552000,1.92018,1.93097,49.3
2250,0,132299882496000,1.87204,1.90016,55.45
2500,0,146999869440000,1.84229,1.88051,61.6
2750,0,161699856384000,1.82778,1.86698,67.75
3000,0,176399843328000,1.80829,1.86108,73.89
3250,0,191099830272000,1.79645,1.8531,80.07
3500,0,205799817216000,1.78518,1.85198,86.23
3750,0,220499804160000,1.78202,1.84388,92.38
4000,0,235199791104000,1.77667,1.84132,98.53
4250,0,249899778048000,1.77329,1.83933,104.68
4500,0,264599764992000,1.7685,1.84002,110.85
4750,250,351777325056000,1.76631,1.83585,123.79
5000,500,438954885120000,1.76806,1.83535,136.72
