epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,390,100,80370728960,1.66887,0.4256,1.5994,0.78
1,780,150,133897912320,1.53788,0.4542,1.5343,1.42
2,1170,200,187425095680,1.48129,0.474,1.4762,2.06
3,1560,200,214108733440,1.44601,0.4715,1.4672,2.7
4,1950,250,267635916800,1.46068,0.4738,1.4692,3.35
5,2340,250,294319554560,1.39248,0.4906,1.4355,4.02
6,2730,250,321003192320,1.36938,0.4871,1.4258,4.66
7,3120,250,347686830080,1.34427,0.4909,1.4305,5.32
8,3510,300,401214013440,1.41999,0.4725,1.47,6.0
9,3900,300,427897651200,1.3644,0.4864,1.4242,6.66
10,4290,300,454581288960,1.35196,0.4962,1.4075,7.36
11,4680,300,481264926720,1.32052,0.4967,1.4059,7.99
12,5070,300,507948564480,1.30353,0.5019,1.3995,8.63
13,5460,300,534632202240,1.29755,0.4964,1.4137,9.27
14,5850,350,588159385600,1.36168,0.4997,1.405,9.9
15,6240,350,614843023360,1.29425,0.5016,1.4105,10.55
16,6630,350,641526661120,1.28261,0.5078,1.3878,11.22
17,7020,350,668210298880,1.27879,0.5035,1.3954,11.87
18,7410,350,694893936640,1.26646,0.5105,1.3881,12.51
19,7800,400,748421120000,1.33971,0.4907,1.4176,13.13
20,8190,400,775104757760,1.28754,0.499,1.4162,13.76
21,8580,400,801788395520,1.29637,0.5024,1.4067,14.41
22,8970,400,828472033280,1.25595,0.5045,1.3957,15.07
23,9360,400,855155671040,1.23667,0.5091,1.4047,15.76
24,9750,450,908682854400,1.33933,0.494,1.4219,16.45
25,10140,450,935366492160,1.27937,0.5146,1.3859,17.09
26,10530,450,962050129920,1.25167,0.5113,1.3971,17.73
27,10920,450,988733767680,1.22661,0.507,1.4072,18.39
28,11310,450,1015417405440,1.22882,0.5144,1.385,19.01
29,11700,500,1068944588800,1.33039,0.4736,1.4891,19.64
