epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,390,0,26683637760,1.91756,0.331,1.8731,0.82
1,780,0,53367275520,1.79829,0.3753,1.7645,1.48
2,1170,0,80050913280,1.73598,0.3885,1.7272,2.12
3,1560,0,106734551040,1.70563,0.3997,1.6921,2.76
4,1950,0,133418188800,1.68414,0.3996,1.6909,3.44
5,2340,0,160101826560,1.64919,0.405,1.6614,4.12
6,2730,0,186785464320,1.64569,0.4183,1.6371,4.75
7,3120,0,213469102080,1.61707,0.4245,1.6266,5.45
8,3510,0,240152739840,1.58633,0.4113,1.6453,6.12
9,3900,0,266836377600,1.57489,0.4285,1.6178,6.79
10,4290,0,293520015360,1.56367,0.4324,1.6007,7.42
11,4680,0,320203653120,1.54012,0.4313,1.6031,8.11
12,5070,0,346887290880,1.5283,0.4389,1.5811,8.74
13,5460,0,373570928640,1.51007,0.4373,1.5814,9.4
14,5850,0,400254566400,1.51176,0.4367,1.5792,10.04
15,6240,0,426938204160,1.48848,0.4427,1.5691,10.69
16,6630,0,453621841920,1.47026,0.4461,1.5682,11.34
17,7020,0,480305479680,1.46849,0.4331,1.5898,12.01
18,7410,0,506989117440,1.45314,0.4472,1.563,12.68
19,7800,0,533672755200,1.43273,0.4485,1.5491,13.35
20,8190,0,560356392960,1.4264,0.4511,1.5475,14.04
21,8580,0,587040030720,1.42347,0.4499,1.5486,14.68
22,8970,0,613723668480,1.39446,0.4568,1.535,15.34
23,9360,0,640407306240,1.39331,0.449,1.5415,16.0
24,9750,0,667090944000,1.3796,0.4511,1.5434,16.64
25,10140,0,693774581760,1.36661,0.4569,1.5384,17.33
26,10530,0,720458219520,1.35522,0.4512,1.5428,17.99
27,10920,390,956521512960,1.59373,0.4493,1.5505,18.73
28,11310,780,1192584806400,1.44727,0.4846,1.4615,19.46
29,11700,1170,1428648099840,1.36301,0.4924,1.4284,20.16
